Urban_population_percentage,Wine_consumption_per_capita,Liquor_consumption_per_capita,Cirrhosis_death_rate
44,5,30,41.2
43,4,41,31.7
48,3,38,39.4
52,7,48,57.5
71,11,53,74.8
44,9,65,59.8
57,6,73,54.3
34,3,32,47.9
70,12,56,77.2
54,7,57,56.6
70,14,43,80.9
65,12,33,34.3
36,10,48,53.1
47,10,69,55.4
63,14,54,57.8
35,9,47,62.8
50,7,68,67.3
55,18,47,56.7
33,6,27,37.6
81,31,79,129.9
63,13,59,70.3
78,20,97,104.2
63,19,95,83.6
65,10,81,66
45,4,26,52.3
78,16,76,86.9
60,9,37,66.6
52,6,46,40.1
37,6,40,55.7
55,21,76,58.1
69,15,70,74.3
84,17,66,98.1
54,7,63,40.7
61,13,59,66.7
47,8,55,48
57,28,149,122.5
87,23,77,92.1
50,22,43,76
85,23,74,97.5
27,7,56,33.8
84,16,63,90.5
37,2,41,29.7
33,6,59,28
44,3,32,51.6
63,8,40,55.7
58,13,57,55.5